window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 4, 9, 20, 0), end=datetime.datetime(2016, 4, 20, 20, 0))","[0.011111096393919835, 0.033333289181761976, 0.055555481969601646, 0.33333289181760983, 0.6111103016656181, 0.33333289181760983, 0.2777774098480082, 0.055555481969601646, 0.16666644590880492, 0.13333289181760985, 1.0, 0.2777774098480082, 0.2999996026358479, 0.32222179542369, 0.3444439882115297, 0.3666661809993718, 0.38888837378721147, 0.0, 0.0, 0.6666657836352197, 0.44444385575681317, 0.5555548196960164]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 10, 20, 0), end=datetime.datetime(2016, 4, 21, 20, 0))","[0.055555481969601646, 0.33333289181760983, 0.6111103016656181, 0.33333289181760983, 0.2777774098480082, 0.055555481969601646, 0.16666644590880492, 0.13333289181760985, 1.0, 0.2777774098480082, 0.2999996026358479, 0.32222179542369, 0.3444439882115297, 0.3666661809993718, 0.38888837378721147, 0.0, 0.0, 0.6666657836352197, 0.44444385575681317, 0.5555548196960164, 0.33333289181760983, 0.22222192787840658]","[0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 11, 20, 0), end=datetime.datetime(2016, 4, 22, 20, 0))","[0.6111103016656181, 0.33333289181760983, 0.2777774098480082, 0.055555481969601646, 0.16666644590880492, 0.13333289181760985, 1.0, 0.2777774098480082, 0.2999996026358479, 0.32222179542369, 0.3444439882115297, 0.3666661809993718, 0.38888837378721147, 0.0, 0.0, 0.6666657836352197, 0.44444385575681317, 0.5555548196960164, 0.33333289181760983, 0.22222192787840658, 0.11111096393920329, 0.4999993377264148]","[0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 12, 20, 0), end=datetime.datetime(2016, 4, 23, 20, 0))","[0.2777774098480082, 0.055555481969601646, 0.16666644590880492, 0.13333289181760985, 1.0, 0.2777774098480082, 0.2999996026358479, 0.32222179542369, 0.3444439882115297, 0.3666661809993718, 0.38888837378721147, 0.0, 0.0, 0.6666657836352197, 0.44444385575681317, 0.5555548196960164, 0.33333289181760983, 0.22222192787840658, 0.11111096393920329, 0.4999993377264148, 0.44444385575681317, 0.38888837378721147]","[0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387]"
"Row(start=datetime.datetime(2016, 4, 13, 20, 0), end=datetime.datetime(2016, 4, 24, 20, 0))","[0.16666644590880492, 0.13333289181760985, 1.0, 0.2777774098480082, 0.2999996026358479, 0.32222179542369, 0.3444439882115297, 0.3666661809993718, 0.38888837378721147, 0.0, 0.0, 0.6666657836352197, 0.44444385575681317, 0.5555548196960164, 0.33333289181760983, 0.22222192787840658, 0.11111096393920329, 0.4999993377264148, 0.44444385575681317, 0.38888837378721147, 0.33333289181760983, 0.2777774098480082]","[0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 14, 20, 0), end=datetime.datetime(2016, 4, 25, 20, 0))","[1.0, 0.4799995422363281, 0.49599952697753835, 0.5119995117187504, 0.5279994964599606, 0.5439994812011726, 0.5599994659423828, 0.2799997329711914, 0.2799997329711914, 0.7599992752075195, 0.5999994277954102, 0.6799993515014648, 0.5199995040893555, 0.4399995803833008, 0.3599996566772461, 0.6399993896484375, 0.5999994277954102, 0.5599994659423828, 0.5199995040893555, 0.4799995422363281, 0.4399995803833008, 0.0]","[0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994]"
"Row(start=datetime.datetime(2016, 4, 15, 20, 0), end=datetime.datetime(2016, 4, 26, 20, 0))","[0.7724139802096105, 0.7862070723181198, 0.8000001644266276, 0.8137932565351369, 0.8275863486436448, 0.5862072367447474, 0.5862072367447474, 1.0, 0.8620690789149158, 0.9310345394574578, 0.7931036183723736, 0.7241381578298316, 0.6551726972872894, 0.8965518091861868, 0.8620690789149158, 0.8275863486436448, 0.7931036183723736, 0.7586208881011026, 0.7241381578298316, 0.34482812484585, 0.0, 0.8620690789149158]","[-0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 16, 20, 0), end=datetime.datetime(2016, 4, 27, 20, 0))","[0.8000001644266276, 0.8137932565351369, 0.8275863486436448, 0.5862072367447474, 0.5862072367447474, 1.0, 0.8620690789149158, 0.9310345394574578, 0.7931036183723736, 0.7241381578298316, 0.6551726972872894, 0.8965518091861868, 0.8620690789149158, 0.8275863486436448, 0.7931036183723736, 0.7586208881011026, 0.7241381578298316, 0.34482812484585, 0.0, 0.8620690789149158, 0.7241381578298316, 0.7241381578298316]","[0.0, 0.0, 0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 17, 20, 0), end=datetime.datetime(2016, 4, 28, 20, 0))","[0.8275863486436448, 0.5862072367447474, 0.5862072367447474, 1.0, 0.8620690789149158, 0.9310345394574578, 0.7931036183723736, 0.7241381578298316, 0.6551726972872894, 0.8965518091861868, 0.8620690789149158, 0.8275863486436448, 0.7931036183723736, 0.7586208881011026, 0.7241381578298316, 0.34482812484585, 0.0, 0.8620690789149158, 0.7241381578298316, 0.7241381578298316, 0.6793105262638652, 0.6551726972872894]","[0.0, 0.7964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905]"
"Row(start=datetime.datetime(2016, 4, 18, 20, 0), end=datetime.datetime(2016, 4, 29, 20, 0))","[0.4594595117060261, 0.7837834180578171, 0.6756754492738868, 0.729729433665852, 0.6216214648819216, 0.5675674804899564, 0.5135134960979912, 0.7027024414698694, 0.6756754492738868, 0.6486484570779042, 0.6216214648819216, 0.594594472685939, 0.5675674804899564, 0.27027056633414803, 0.0, 0.6756754492738868, 0.5675674804899564, 0.5675674804899564, 0.5324323261977468, 0.5135134960979912, 1.0, 0.7567564258618346]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106]"
