window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 4, 9, 20, 0), end=datetime.datetime(2016, 4, 20, 20, 0))","[0.7887997436523448, 0.8183996582031255, 0.8479995727539062, 0.4239990234375, 0.44399871826171877, 0.7039993286132813, 0.8080001831054687, 0.9479995727539062, 1.0, 0.7519989013671875, 0.6239990234375, 0.21199951171875, 0.16959960937500113, 0.12719970703124944, 0.08479980468750056, 0.042399902343748866, 0.0, 0.479998779296875, 0.5080001831054688, 0.5080001831054688, 0.4720001220703125, 0.6919998168945313]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 10, 20, 0), end=datetime.datetime(2016, 4, 21, 20, 0))","[0.8479995727539062, 0.4239990234375, 0.44399871826171877, 0.7039993286132813, 0.8080001831054687, 0.9479995727539062, 1.0, 0.7519989013671875, 0.6239990234375, 0.21199951171875, 0.16959960937500113, 0.12719970703124944, 0.08479980468750056, 0.042399902343748866, 0.0, 0.479998779296875, 0.5080001831054688, 0.5080001831054688, 0.4720001220703125, 0.6919998168945313, 0.6919998168945313, 0.9959991455078125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 11, 20, 0), end=datetime.datetime(2016, 4, 22, 20, 0))","[0.41729205237895145, 0.6616535422907975, 0.7593987118942555, 0.8909770931718349, 0.9398496779735639, 0.706765925286425, 0.5864652812335527, 0.19924767281941996, 0.15939813825553703, 0.11954860369165145, 0.07969906912776852, 0.039849534563882925, 0.0, 0.4511266981498717, 0.47744380850218626, 0.47744380850218626, 0.44360916273126605, 0.6503758050660904, 0.6503758050660904, 0.9360894761674623, 0.9774430914537869, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 12, 20, 0), end=datetime.datetime(2016, 4, 23, 20, 0))","[0.7593987118942555, 0.8909770931718349, 0.9398496779735639, 0.706765925286425, 0.5864652812335527, 0.19924767281941996, 0.15939813825553703, 0.11954860369165145, 0.07969906912776852, 0.039849534563882925, 0.0, 0.4511266981498717, 0.47744380850218626, 0.47744380850218626, 0.44360916273126605, 0.6503758050660904, 0.6503758050660904, 0.9360894761674623, 0.9774430914537869, 1.0, 0.9984962060969197, 0.9969924121938394]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 13, 20, 0), end=datetime.datetime(2016, 4, 24, 20, 0))","[0.9398496779735639, 0.706765925286425, 0.5864652812335527, 0.19924767281941996, 0.15939813825553703, 0.11954860369165145, 0.07969906912776852, 0.039849534563882925, 0.0, 0.4511266981498717, 0.47744380850218626, 0.47744380850218626, 0.44360916273126605, 0.6503758050660904, 0.6503758050660904, 0.9360894761674623, 0.9774430914537869, 1.0, 0.9984962060969197, 0.9969924121938394, 0.9954886182907563, 0.993984824387676]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 14, 20, 0), end=datetime.datetime(2016, 4, 25, 20, 0))","[0.5016074488480461, 0.17041778950944905, 0.13633423160756017, 0.10225067370566897, 0.06816711580378008, 0.0340835579018889, 0.0, 0.38585150631633564, 0.40836069655707885, 0.40836069655707885, 0.3794217109241512, 0.5562705224178092, 0.5562705224178092, 0.8006432248576233, 0.8360132324747598, 0.8553062984273864, 0.854020094030545, 0.8527338896337038, 0.8514476852368601, 0.8501614808400189, 0.8488752764431775, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 15, 20, 0), end=datetime.datetime(2016, 4, 26, 20, 0))","[0.11910093095821912, 0.08932569821866335, 0.05955046547910956, 0.02977523273955378, 0.0, 0.3370780256142095, 0.356741946268452, 0.356741946268452, 0.33146098719289524, 0.48595526085689306, 0.48595526085689306, 0.6994380818488865, 0.7303371508906681, 0.7471914807893428, 0.7460678587960983, 0.7449442368028537, 0.7438206148096072, 0.7426969928163625, 0.7415733708231179, 0.8735952046222162, 0.963483892536904, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 16, 20, 0), end=datetime.datetime(2016, 4, 27, 20, 0))","[0.05549725881025412, 0.02774862940512613, 0.0, 0.31413535186091335, 0.33246087937766505, 0.33246087937766505, 0.3089006281269036, 0.4528794974984771, 0.4528794974984771, 0.6518319535845175, 0.6806279271812181, 0.6963350942190355, 0.6952879497498481, 0.6942408052806607, 0.6931936608114713, 0.6921465163422839, 0.6910993718730964, 0.8141353518609133, 0.8979059107840103, 0.9319366081147206, 0.9528794974984771, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 17, 20, 0), end=datetime.datetime(2016, 4, 28, 20, 0))","[0.0, 0.31413535186091335, 0.33246087937766505, 0.33246087937766505, 0.3089006281269036, 0.4528794974984771, 0.4528794974984771, 0.6518319535845175, 0.6806279271812181, 0.6963350942190355, 0.6952879497498481, 0.6942408052806607, 0.6931936608114713, 0.6921465163422839, 0.6910993718730964, 0.8141353518609133, 0.8979059107840103, 0.9319366081147206, 0.9528794974984771, 1.0, 0.9738213882703043, 0.7382198743746193]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 18, 20, 0), end=datetime.datetime(2016, 4, 29, 20, 0))","[0.034090974770973614, 0.034090974770973614, 0.0, 0.2083330925064301, 0.2083330925064301, 0.4962113111579921, 0.537878218651562, 0.560606016819351, 0.5590908302748322, 0.5575756437303134, 0.5560604571857921, 0.5545452706412733, 0.5530300840967546, 0.7310594457127995, 0.8522729243129209, 0.9015143195676676, 0.9318180504580528, 1.0, 0.9621203363870184, 0.6212120336387018, 0.5719691934225356, 0.325756437303124]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
