Date,Type,ticker,Price
2009-01-02,Open,HFC,9.135000228881836
2009-01-02,Closed,HFC,9.34000015258789
2009-01-05,Open,HFC,9.25
2009-01-05,Closed,HFC,10.029999732971191
2009-01-06,Open,HFC,10.4350004196167
2009-01-06,Closed,HFC,10.399999618530273
2009-01-07,Open,HFC,10.069999694824219
2009-01-07,Closed,HFC,9.875
2009-01-08,Open,HFC,9.755000114440918
2009-01-08,Closed,HFC,10.274999618530273
2009-01-09,Open,HFC,10.420000076293945
2009-01-09,Closed,HFC,10.260000228881836
2009-01-12,Open,HFC,9.904999732971191
2009-01-12,Closed,HFC,9.835000038146973
2009-01-13,Open,HFC,9.649999618530273
2009-01-13,Closed,HFC,10.260000228881836
2009-01-14,Open,HFC,9.920000076293945
2009-01-14,Closed,HFC,9.885000228881836
2009-01-15,Open,HFC,9.869999885559082
2009-01-15,Closed,HFC,10.270000457763672
2009-01-16,Open,HFC,10.319999694824219
2009-01-16,Closed,HFC,11.425000190734863
2009-01-20,Open,HFC,11.234999656677246
2009-01-20,Closed,HFC,10.9350004196167
2009-01-21,Open,HFC,11.09000015258789
2009-01-21,Closed,HFC,11.609999656677246
2009-01-22,Open,HFC,11.475000381469727
2009-01-22,Closed,HFC,11.164999961853027
2009-01-23,Open,HFC,10.854999542236328
2009-01-23,Closed,HFC,11.510000228881836
2009-01-26,Open,HFC,11.664999961853027
2009-01-26,Closed,HFC,11.895000457763672
2009-01-27,Open,HFC,11.585000038146973
2009-01-27,Closed,HFC,11.289999961853027
2009-01-28,Open,HFC,11.550000190734863
2009-01-28,Closed,HFC,11.854999542236328
2009-01-29,Open,HFC,11.364999771118164
2009-01-29,Closed,HFC,11.704999923706055
2009-01-30,Open,HFC,11.994999885559082
2009-01-30,Closed,HFC,11.6850004196167
2009-02-02,Open,HFC,11.484999656677246
2009-02-02,Closed,HFC,11.475000381469727
2009-02-03,Open,HFC,11.579999923706055
2009-02-03,Closed,HFC,12.029999732971191
2009-02-04,Open,HFC,12.114999771118164
2009-02-04,Closed,HFC,12.414999961853027
2009-02-05,Open,HFC,12.395000457763672
2009-02-05,Closed,HFC,12.074999809265137
2009-02-06,Open,HFC,12.0
2009-02-06,Closed,HFC,12.770000457763672
2009-02-09,Open,HFC,12.994999885559082
2009-02-09,Closed,HFC,13.255000114440918
2009-02-10,Open,HFC,13.414999961853027
2009-02-10,Closed,HFC,12.470000267028809
2009-02-11,Open,HFC,12.40999984741211
2009-02-11,Closed,HFC,12.604999542236328
2009-02-12,Open,HFC,12.1850004196167
2009-02-12,Closed,HFC,12.949999809265137
2009-02-13,Open,HFC,12.979999542236328
2009-02-13,Closed,HFC,12.864999771118164
2009-02-17,Open,HFC,13.399999618530273
2009-02-17,Closed,HFC,12.579999923706055
2009-02-18,Open,HFC,12.755000114440918
2009-02-18,Closed,HFC,11.739999771118164
2009-02-19,Open,HFC,11.994999885559082
2009-02-19,Closed,HFC,11.760000228881836
2009-02-20,Open,HFC,11.34000015258789
2009-02-20,Closed,HFC,10.744999885559082
2009-02-23,Open,HFC,10.994999885559082
2009-02-23,Closed,HFC,10.555000305175781
2009-02-24,Open,HFC,10.555000305175781
2009-02-24,Closed,HFC,11.350000381469727
2009-02-25,Open,HFC,11.295000076293945
2009-02-25,Closed,HFC,11.954999923706055
2009-02-26,Open,HFC,12.199999809265137
2009-02-26,Closed,HFC,11.864999771118164
2009-02-27,Open,HFC,11.470000267028809
2009-02-27,Closed,HFC,11.654999732971191
2009-03-02,Open,HFC,11.289999961853027
2009-03-02,Closed,HFC,10.555000305175781
2009-03-03,Open,HFC,10.710000038146973
2009-03-03,Closed,HFC,10.774999618530273
2009-03-04,Open,HFC,11.25
2009-03-04,Closed,HFC,11.255000114440918
2009-03-05,Open,HFC,10.885000228881836
2009-03-05,Closed,HFC,10.579999923706055
2009-03-06,Open,HFC,10.6850004196167
2009-03-06,Closed,HFC,10.319999694824219
2009-03-09,Open,HFC,10.25
2009-03-09,Closed,HFC,10.545000076293945
2009-03-10,Open,HFC,10.864999771118164
2009-03-10,Closed,HFC,11.145000457763672
2009-03-11,Open,HFC,11.375
2009-03-11,Closed,HFC,11.015000343322754
2009-03-12,Open,HFC,11.1850004196167
2009-03-12,Closed,HFC,10.9399995803833
2009-03-13,Open,HFC,11.005000114440918
2009-03-13,Closed,HFC,10.635000228881836
2009-03-16,Open,HFC,10.529999732971191
2009-03-16,Closed,HFC,11.085000038146973
2009-03-17,Open,HFC,11.15999984741211
2009-03-17,Closed,HFC,11.604999542236328
2009-03-18,Open,HFC,11.5
2009-03-18,Closed,HFC,11.354999542236328
2009-03-19,Open,HFC,11.75
2009-03-19,Closed,HFC,11.414999961853027
2009-03-20,Open,HFC,11.449999809265137
2009-03-20,Closed,HFC,10.53499984741211
2009-03-23,Open,HFC,10.824999809265137
2009-03-23,Closed,HFC,11.010000228881836
2009-03-24,Open,HFC,10.880000114440918
2009-03-24,Closed,HFC,10.90999984741211
2009-03-25,Open,HFC,11.020000457763672
2009-03-25,Closed,HFC,11.305000305175781
2009-03-26,Open,HFC,11.345000267028809
2009-03-26,Closed,HFC,11.960000038146973
2009-03-27,Open,HFC,11.774999618530273
2009-03-27,Closed,HFC,11.199999809265137
2009-03-30,Open,HFC,10.795000076293945
2009-03-30,Closed,HFC,10.555000305175781
2009-03-31,Open,HFC,10.680000305175781
2009-03-31,Closed,HFC,10.600000381469727
2009-04-01,Open,HFC,10.3149995803833
2009-04-01,Closed,HFC,10.4399995803833
2009-04-02,Open,HFC,10.704999923706055
2009-04-02,Closed,HFC,10.9399995803833
2009-04-03,Open,HFC,10.944999694824219
2009-04-03,Closed,HFC,11.114999771118164
2009-04-06,Open,HFC,10.904999732971191
2009-04-06,Closed,HFC,11.100000381469727
2009-04-07,Open,HFC,10.925000190734863
2009-04-07,Closed,HFC,10.614999771118164
2009-04-08,Open,HFC,10.545000076293945
2009-04-08,Closed,HFC,10.654999732971191
2009-04-09,Open,HFC,11.015000343322754
2009-04-09,Closed,HFC,11.1850004196167
2009-04-13,Open,HFC,11.024999618530273
2009-04-13,Closed,HFC,11.039999961853027
2009-04-14,Open,HFC,10.914999961853027
2009-04-14,Closed,HFC,10.699999809265137
2009-04-15,Open,HFC,10.675000190734863
2009-04-15,Closed,HFC,10.550000190734863
2009-04-16,Open,HFC,10.664999961853027
2009-04-16,Closed,HFC,11.614999771118164
2009-04-17,Open,HFC,11.704999923706055
2009-04-17,Closed,HFC,11.989999771118164
2009-04-20,Open,HFC,11.819999694824219
2009-04-20,Closed,HFC,11.399999618530273
2009-04-21,Open,HFC,11.194999694824219
2009-04-21,Closed,HFC,11.225000381469727
2009-04-22,Open,HFC,11.079999923706055
2009-04-22,Closed,HFC,11.069999694824219
2009-04-23,Open,HFC,11.234999656677246
2009-04-23,Closed,HFC,10.989999771118164
2009-04-24,Open,HFC,11.140000343322754
2009-04-24,Closed,HFC,11.460000038146973
2009-04-27,Open,HFC,11.149999618530273
2009-04-27,Closed,HFC,10.864999771118164
2009-04-28,Open,HFC,10.579999923706055
2009-04-28,Closed,HFC,10.9350004196167
2009-04-29,Open,HFC,10.944999694824219
2009-04-29,Closed,HFC,10.744999885559082
2009-04-30,Open,HFC,10.75
2009-04-30,Closed,HFC,10.479999542236328
2009-05-01,Open,HFC,10.46500015258789
2009-05-01,Closed,HFC,10.845000267028809
2009-05-04,Open,HFC,10.944999694824219
2009-05-04,Closed,HFC,11.835000038146973
2009-05-05,Open,HFC,11.800000190734863
2009-05-05,Closed,HFC,12.350000381469727
2009-05-06,Open,HFC,12.774999618530273
2009-05-06,Closed,HFC,12.90999984741211
2009-05-07,Open,HFC,13.614999771118164
2009-05-07,Closed,HFC,12.625
2009-05-08,Open,HFC,12.744999885559082
2009-05-08,Closed,HFC,13.015000343322754
2009-05-11,Open,HFC,12.899999618530273
2009-05-11,Closed,HFC,12.574999809265137
2009-05-12,Open,HFC,12.829999923706055
2009-05-12,Closed,HFC,12.180000305175781
2009-05-13,Open,HFC,12.029999732971191
2009-05-13,Closed,HFC,11.885000228881836
2009-05-14,Open,HFC,11.75
2009-05-14,Closed,HFC,12.170000076293945
2009-05-15,Open,HFC,12.109999656677246
2009-05-15,Closed,HFC,11.765000343322754
2009-05-18,Open,HFC,12.010000228881836
2009-05-18,Closed,HFC,12.1899995803833
2009-05-19,Open,HFC,12.239999771118164
2009-05-19,Closed,HFC,12.4350004196167
2009-05-20,Open,HFC,12.654999732971191
2009-05-20,Closed,HFC,12.369999885559082
2009-05-21,Open,HFC,12.210000038146973
2009-05-21,Closed,HFC,11.789999961853027
2009-05-22,Open,HFC,11.9399995803833
2009-05-22,Closed,HFC,11.710000038146973
2009-05-26,Open,HFC,11.510000228881836
2009-05-26,Closed,HFC,11.569999694824219
2009-05-27,Open,HFC,11.635000228881836
2009-05-27,Closed,HFC,11.720000267028809
2009-05-28,Open,HFC,11.859999656677246
2009-05-28,Closed,HFC,11.944999694824219
2009-05-29,Open,HFC,12.0600004196167
2009-05-29,Closed,HFC,12.095000267028809
2009-06-01,Open,HFC,12.1899995803833
2009-06-01,Closed,HFC,12.154999732971191
2009-06-02,Open,HFC,12.095000267028809
2009-06-02,Closed,HFC,11.90999984741211
