Date,Type,ticker,Price
2016-03-31,Open,^IXIC,4869.56982421875
2016-03-31,Closed,^IXIC,4869.85009765625
2016-04-01,Open,^IXIC,4842.5498046875
2016-04-01,Closed,^IXIC,4914.5400390625
2016-04-04,Open,^IXIC,4911.2099609375
2016-04-04,Closed,^IXIC,4891.7998046875
2016-04-05,Open,^IXIC,4855.89990234375
2016-04-05,Closed,^IXIC,4843.93017578125
2016-04-06,Open,^IXIC,4849.580078125
2016-04-06,Closed,^IXIC,4920.72021484375
2016-04-07,Open,^IXIC,4893.56982421875
2016-04-07,Closed,^IXIC,4848.3701171875
2016-04-08,Open,^IXIC,4883.990234375
2016-04-08,Closed,^IXIC,4850.68994140625
2016-04-11,Open,^IXIC,4873.39013671875
2016-04-11,Closed,^IXIC,4833.39990234375
2016-04-12,Open,^IXIC,4838.81982421875
2016-04-12,Closed,^IXIC,4872.08984375
2016-04-13,Open,^IXIC,4904.7900390625
2016-04-13,Closed,^IXIC,4947.419921875
2016-04-14,Open,^IXIC,4947.6201171875
2016-04-14,Closed,^IXIC,4945.89013671875
2016-04-15,Open,^IXIC,4938.830078125
2016-04-15,Closed,^IXIC,4938.22021484375
2016-04-18,Open,^IXIC,4919.35986328125
2016-04-18,Closed,^IXIC,4960.02001953125
2016-04-19,Open,^IXIC,4968.2998046875
2016-04-19,Closed,^IXIC,4940.330078125
2016-04-20,Open,^IXIC,4941.990234375
2016-04-20,Closed,^IXIC,4948.1298828125
2016-04-21,Open,^IXIC,4949.1201171875
2016-04-21,Closed,^IXIC,4945.89013671875
2016-04-22,Open,^IXIC,4898.240234375
2016-04-22,Closed,^IXIC,4906.22998046875
2016-04-25,Open,^IXIC,4891.47998046875
2016-04-25,Closed,^IXIC,4895.7900390625
2016-04-26,Open,^IXIC,4903.81005859375
2016-04-26,Closed,^IXIC,4888.27978515625
2016-04-27,Open,^IXIC,4855.3798828125
2016-04-27,Closed,^IXIC,4863.14013671875
2016-04-28,Open,^IXIC,4857.60009765625
2016-04-28,Closed,^IXIC,4805.2900390625
2016-04-29,Open,^IXIC,4805.7900390625
2016-04-29,Closed,^IXIC,4775.35986328125
2016-05-02,Open,^IXIC,4786.5498046875
2016-05-02,Closed,^IXIC,4817.58984375
2016-05-03,Open,^IXIC,4780.8798828125
2016-05-03,Closed,^IXIC,4763.22021484375
2016-05-04,Open,^IXIC,4735.27978515625
2016-05-04,Closed,^IXIC,4725.64013671875
2016-05-05,Open,^IXIC,4742.419921875
2016-05-05,Closed,^IXIC,4717.08984375
2016-05-06,Open,^IXIC,4695.89990234375
2016-05-06,Closed,^IXIC,4736.16015625
2016-05-09,Open,^IXIC,4736.35009765625
2016-05-09,Closed,^IXIC,4750.2099609375
2016-05-10,Open,^IXIC,4768.91015625
2016-05-10,Closed,^IXIC,4809.8798828125
2016-05-11,Open,^IXIC,4799.2998046875
2016-05-11,Closed,^IXIC,4760.68994140625
2016-05-12,Open,^IXIC,4778.18994140625
2016-05-12,Closed,^IXIC,4737.330078125
2016-05-13,Open,^IXIC,4731.06982421875
2016-05-13,Closed,^IXIC,4717.68017578125
2016-05-16,Open,^IXIC,4728.85986328125
2016-05-16,Closed,^IXIC,4775.4599609375
2016-05-17,Open,^IXIC,4768.85009765625
2016-05-17,Closed,^IXIC,4715.72998046875
2016-05-18,Open,^IXIC,4705.77978515625
2016-05-18,Closed,^IXIC,4739.1201171875
2016-05-19,Open,^IXIC,4717.35986328125
2016-05-19,Closed,^IXIC,4712.52978515625
2016-05-20,Open,^IXIC,4729.43994140625
2016-05-20,Closed,^IXIC,4769.56005859375
2016-05-23,Open,^IXIC,4771.56982421875
2016-05-23,Closed,^IXIC,4765.77978515625
2016-05-24,Open,^IXIC,4792.85009765625
2016-05-24,Closed,^IXIC,4861.06005859375
2016-05-25,Open,^IXIC,4877.18017578125
2016-05-25,Closed,^IXIC,4894.89013671875
2016-05-26,Open,^IXIC,4897.77978515625
2016-05-26,Closed,^IXIC,4901.77001953125
2016-05-27,Open,^IXIC,4904.0498046875
2016-05-27,Closed,^IXIC,4933.5
2016-05-31,Open,^IXIC,4938.47998046875
2016-05-31,Closed,^IXIC,4948.0498046875
2016-06-01,Open,^IXIC,4928.97021484375
2016-06-01,Closed,^IXIC,4952.25
2016-06-02,Open,^IXIC,4941.25
2016-06-02,Closed,^IXIC,4971.35986328125
2016-06-03,Open,^IXIC,4958.10009765625
2016-06-03,Closed,^IXIC,4942.52001953125
2016-06-06,Open,^IXIC,4950.4599609375
2016-06-06,Closed,^IXIC,4968.7099609375
2016-06-07,Open,^IXIC,4972.1298828125
2016-06-07,Closed,^IXIC,4961.75
