Date,Open,High,Low,Close,Adj Close,Volume,ticker
2021-03-19,13119.900390625,13252.3701171875,13039.4501953125,13215.240234375,13215.240234375,7591530000,^IXIC
2021-03-22,13278.7802734375,13455.6396484375,13278.7802734375,13377.5400390625,13377.5400390625,5302770000,^IXIC
2021-03-23,13381.4296875,13405.150390625,13202.4296875,13227.7001953125,13227.7001953125,5607860000,^IXIC
2021-03-24,13289.240234375,13292.919921875,12961.349609375,12961.8896484375,12961.8896484375,6184470000,^IXIC
2021-03-25,12844.580078125,13021.8603515625,12786.8095703125,12977.6796875,12977.6796875,5608640000,^IXIC
2021-03-26,12996.0302734375,13149.5498046875,12878.7197265625,13138.73046875,13138.73046875,5195330000,^IXIC
2021-03-29,13103.9697265625,13143.41015625,12968.16015625,13059.650390625,13059.650390625,4934000000,^IXIC
2021-03-30,13008.7998046875,13075.75,12922.5703125,13045.3896484375,13045.3896484375,4685320000,^IXIC
2021-03-31,13122.5703125,13325.5400390625,13118.3798828125,13246.8701171875,13246.8701171875,4980670000,^IXIC
2021-04-01,13414.3203125,13487.080078125,13404.1796875,13480.1103515625,13480.1103515625,4553470000,^IXIC
2021-04-05,13594.900390625,13720.580078125,13582.759765625,13705.58984375,13705.58984375,4439970000,^IXIC
2021-04-06,13681.669921875,13776.7099609375,13674.2802734375,13698.3798828125,13698.3798828125,4038510000,^IXIC
2021-04-07,13675.2998046875,13733.0302734375,13653.58984375,13688.83984375,13688.83984375,4078990000,^IXIC
2021-04-08,13796.8896484375,13830.1396484375,13758.7099609375,13829.3095703125,13829.3095703125,4133640000,^IXIC
2021-04-09,13787.01953125,13905.41015625,13748.349609375,13900.1904296875,13900.1904296875,3906460000,^IXIC
2021-04-12,13854.4404296875,13877.0,13783.9501953125,13850.0,13850.0,4230160000,^IXIC
2021-04-13,13902.4501953125,14011.509765625,13902.4501953125,13996.099609375,13996.099609375,4200290000,^IXIC
2021-04-14,14004.080078125,14033.6298828125,13839.0400390625,13857.83984375,13857.83984375,4102380000,^IXIC
2021-04-15,13983.23046875,14049.1298828125,13970.419921875,14038.759765625,14038.759765625,4382620000,^IXIC
2021-04-16,14059.1103515625,14062.5,13977.0498046875,14052.33984375,14052.33984375,4414640000,^IXIC
